title,url,summary,published_utc,source,_dt
"Apr 30, 2025, 16:05 ET
			
			
				CPKC reports first quarter results; solid demand, precision execution and a resilient network powers strong start to 2025
			
			
				
				
			
	
CALGARY, AB, April 30, 2025 /PRNewswire/ - Canadian Pacific Kansas City (TSX: CP) (NYSE: CP) (CPKC) today announced its first-quarter results,...",https://www.prnewswire.com/news-releases/cpkc-reports-first-quarter-results-solid-demand-precision-execution-and-a-resilient-network-powers-strong-start-to-2025-302443191.html,,2025-09-16T18:48:37.829876+00:00,prnewswire.com,2025-09-16 18:48:37.829876
"Apr 30, 2025, 20:15 ET
			
			
				CPKC announces results of director elections
			
			
				
				
			
	
CALGARY, AB, April 30, 2025 /PRNewswire/ - Canadian Pacific Kansas City (TSX: CP) (NYSE: CP) (CPKC) today announced the results of the 2025 annual...",https://www.prnewswire.com/news-releases/cpkc-announces-results-of-director-elections-302443433.html,,2025-09-16T18:48:37.829865+00:00,prnewswire.com,2025-09-16 18:48:37.829865
"May 08, 2025, 13:59 ET
			
			
				CPKC President and CEO Keith Creel to address 2025 Wolfe Research Global Transportation & Industrials Conference
			
			
				
				
			
	
CALGARY, AB, May 8, 2025 /PRNewswire/ - Canadian Pacific Kansas City (TSX: CP) (NYSE: CP) (CPKC) President and Chief Executive Officer Keith Creel...",https://www.prnewswire.com/news-releases/cpkc-president-and-ceo-keith-creel-to-address-2025-wolfe-research-global-transportation--industrials-conference-302450388.html,,2025-09-16T18:48:37.829854+00:00,prnewswire.com,2025-09-16 18:48:37.829854
"May 27, 2025, 10:59 ET
			
			
				CPKC executives to present at Wells Fargo Industrials & Materials Securities Conference
			
			
				
				
			
	
CALGARY, AB, May 27, 2025 /PRNewswire/ - Canadian Pacific Kansas City (TSX: CP) (NYSE: CP) (CPKC) Executive Vice-President and Chief Financial...",https://www.prnewswire.com/news-releases/cpkc-executives-to-present-at-wells-fargo-industrials--materials-securities-conference-302465887.html,,2025-09-16T18:48:37.829841+00:00,prnewswire.com,2025-09-16 18:48:37.829841
"May 30, 2025, 16:00 ET
			
			
				CPKC receives arbitration decision establishing new TCRC collective agreements
			
			
				
				
			
	
CALGARY, AB , May 30, 2025 /PRNewswire/ - Canadian Pacific Kansas City (TSX: CP) (NYSE: CP) (CPKC) today said it has received an arbitrator's ruling...",https://www.prnewswire.com/news-releases/cpkc-receives-arbitration-decision-establishing-new-tcrc-collective-agreements-302469809.html,,2025-09-16T18:48:37.829830+00:00,prnewswire.com,2025-09-16 18:48:37.829830
"Jun 11, 2025, 18:35 ET
			
			
				CPKC announces C$1.4 billion debt offering
			
			
				
				
			
	
The shelf prospectus supplement, the corresponding base shelf prospectus and any amendment to the documents is accessible through SEDAR+ CALGARY, AB, ...",https://www.prnewswire.com/news-releases/cpkc-announces-c1-4-billion-debt-offering-302479612.html,,2025-09-16T18:48:37.829817+00:00,prnewswire.com,2025-09-16 18:48:37.829817
"Jul 02, 2025, 12:00 ET
			
			
				CPKC to report second-quarter 2025 earnings results on July 30
			
			
				
				
			
	
CALGARY, AB, July 2, 2025 /PRNewswire/ - Canadian Pacific Kansas City (TSX: CP) (NYSE: CP) (CPKC) said today it will release its second-quarter 2025...",https://www.prnewswire.com/news-releases/cpkc-to-report-second-quarter-2025-earnings-results-on-july-30-302496952.html,,2025-09-16T18:48:37.829797+00:00,prnewswire.com,2025-09-16 18:48:37.829797
"Jul 21, 2025, 16:01 ET
			
			
				CPKC, CSX create faster freight solutions with Southeast Mexico Express
			
			
				
				
			
	
Direct Class I connection brings new competition, links U.S Southeast to Texas and Mexico markets CALGARY, AB, July 21, 2025 /PRNewswire/ - Canadian...",https://www.prnewswire.com/news-releases/cpkc-csx-create-faster-freight-solutions-with-southeast-mexico-express-302509936.html,,2025-09-16T18:48:37.829774+00:00,prnewswire.com,2025-09-16 18:48:37.829774
"Jul 30, 2025, 11:15 ET
			
			
				Canadian Pacific Kansas City Limited declares dividend
			
			
				
				
			
	
CALGARY, AB, July 30, 2025 /PRNewswire/ - The Board of Directors of Canadian Pacific Kansas City Limited (TSX: CP) (NYSE: CP) (CPKC) today declared a ...",https://www.prnewswire.com/news-releases/canadian-pacific-kansas-city-limited-declares-dividend-302517509.html,,2025-09-16T18:48:37.829762+00:00,prnewswire.com,2025-09-16 18:48:37.829762
"Jul 30, 2025, 16:05 ET
			
			
				CPKC second quarter delivers strong growth, carries momentum into second half of 2025
			
			
				
				
			
	
CALGARY, AB, July 30, 2025 /PRNewswire/ - Canadian Pacific Kansas City (TSX: CP) (NYSE: CP) (CPKC) today announced its second-quarter results,...",https://www.prnewswire.com/news-releases/cpkc-second-quarter-delivers-strong-growth-carries-momentum-into-second-half-of-2025-302517795.html,,2025-09-16T18:48:37.829751+00:00,prnewswire.com,2025-09-16 18:48:37.829751
